2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx {'자율·자치활동': 32, '동아리활동': 8, '진로활동': 5}
자율·자치활동
('1', '03.02 ~ 03.08', '화', '1/1', '시업식')
('2', '03.09 ~ 03.15', '월', '1/6', '생명존중 및 자살예방 교육')
('2', '03.09 ~ 03.15', '화', '2/6', '생명존중 및 자살예방 교육')
('2', '03.09 ~ 03.15', '목', '1/2', '1학기 전교임원선거')
('2', '03.09 ~ 03.15', '목', '2/2', '1학기 전교임원선거')
('2', '03.09 ~ 03.15', '목', '3/6', '생명존중 및 자살예방 교육')
('2', '03.09 ~ 03.15', '목', '1/2', '학급특색교육')
('2', '03.09 ~ 03.15', '금', '1/1', '1학기 학급임원선거')
('3', '03.16 ~ 03.22', '월', '1/9', '학교폭력 예방교육')
('3', '03.16 ~ 03.22', '화', '2/9', '학교폭력 예방교육')
('3', '03.16 ~ 03.22', '수', '3/9', '학교폭력 예방교육')
('4', '03.23 ~ 03.29', '월', '2/2', '학급특색교육')
('6', '04.06 ~ 04.12', '월', '1/2', '생활안전')
('6', '04.06 ~ 04.12', '화', '1/1', '교통안전')
('6', '04.06 ~ 04.12', '목', '1/4', '다문화 이해교육')
('7', '04.13 ~ 04.19', '월', '1/4', '장애인식 개선교육')
('7', '04.13 ~ 04.19', '화', '2/4', '장애인식 개선교육')
('8', '04.20 ~ 04.26', '월', '1/13', '보건교육')
('9', '04.27 ~ 05.03', '월', '2/4', '다문화 이해교육')
('10', '05.04 ~ 05.10', '월', '1/5', '통일교육')
('10', '05.04 ~ 05.10', '목', '4/13', '보건교육')
('11', '05.11 ~ 05.17', '월', '1/1', '교육활동보호')
('12', '05.18 ~ 05.24', '월', '1/5', '환경･지속가능발전교육')
('15', '06.08 ~ 06.14', '월', '1/10', '정보 통신')
('16', '06.15 ~ 06.21', '월', '2/10', '정보 통신')
('17', '06.22 ~ 06.28', '월', '3/10', '정보 통신')
('18', '06.29 ~ 07.05', '월', '1/3', '사이버폭력 예방 교육')
('19', '07.06 ~ 07.12', '월', '2/3', '사이버폭력 예방 교육')
('20', '07.13 ~ 07.19', '월', '3/3', '사이버폭력 예방 교육')
('21', '07.20 ~ 07.26', '월', '1/2', '2학기 전교임원선거')
('21', '07.20 ~ 07.26', '월', '2/2', '2학기 전교임원선거')
('21', '07.20 ~ 07.26', '목', '1/1', '여름방학식')
동아리활동
('3', '03.16 ~ 03.22', '월', '1/8', '동아리 활동')
('19', '07.06 ~ 07.12', '수', '2/8', '동아리 활동')
('19', '07.06 ~ 07.12', '목', '3/8', '동아리 활동')
('19', '07.06 ~ 07.12', '금', '4/8', '동아리 활동')
('20', '07.13 ~ 07.19', '화', '5/8', '동아리 활동')
('20', '07.13 ~ 07.19', '수', '6/8', '동아리 활동')
('21', '07.20 ~ 07.26', '수', '7/8', '동아리 활동')
('21', '07.20 ~ 07.26', '수', '8/8', '동아리 활동')
진로활동
('19', '07.06 ~ 07.12', '수', '1/5', '진로 탐구')
('19', '07.06 ~ 07.12', '금', '2/5', '진로 탐구')
('20', '07.13 ~ 07.19', '월', '3/5', '진로 탐구')
('20', '07.13 ~ 07.19', '목', '4/5', '진로 탐구')
('21', '07.20 ~ 07.26', '목', '5/5', '진로 탐구')
