### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
T11: 1 | 03.02 ~ 03.08 | 화 | 자율·자치활동 | 시업식 | 시업식 | 1/1 |  | 
T20: 2 | 03.09 ~ 03.15 | 월 | 자율·자치활동 | 생명존중 및 자살예방 교육 | 나의 소중함 알고 소중하게 가꾸기 【생명존중 및 자살예방 교육, 폭력예방 및 신변보호】 | 1/6 |  | 
T20: 2 | 03.09 ~ 03.15 | 화 | 자율·자치활동 | 생명존중 및 자살예방 교육 | 내가 소중한 이유 알아보고 부모님께 감사한 마음 표현하기 【생명존중 및 자살예방 교육, 폭력예방 및 신변보호】 | 2/6 |  | 
T29: 2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 1학기 전교임원선거 | 1학기 전교임원선거 -1- 【민주시민교육】 | 1/2 |  | 
T29: 2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 1학기 전교임원선거 | 1학기 전교임원선거 -2- 【민주시민교육】 | 2/2 |  | 
T29: 2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 생명존중 및 자살예방 교육 | 나의 가치를 알아보고 나를 사랑하는 마음 갖기 【생명존중 및 자살예방 교육, 폭력예방 및 신변보호】 | 3/6 |  | 
T29: 2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 학급특색교육 | 학급특색교육 -1- 【경제･금융교육】 | 1/2 |  | 
T29: 2 | 03.09 ~ 03.15 | 금 | 자율·자치활동 | 1학기 학급임원선거 | 1학기 학급임원선거 【생활안전-제품 안전】 | 1/1 |  | 
T29: 3 | 03.16 ~ 03.22 | 월 | 동아리활동 | 동아리 활동 | 다양한 방법으로 내가 좋아하는 책 소개하기 | 1/8 |  | 
T29: 3 | 03.16 ~ 03.22 | 월 | 자율·자치활동 | 학교폭력 예방교육 | 친구에게 피해를 주는 행동과 사이좋게 지낼 수 있는 행동 알아보기 【학교폭력 예방교육, 폭력예방 및 신변보호】 | 1/9 |  | 
T38: 3 | 03.16 ~ 03.22 | 화 | 자율·자치활동 | 학교폭력 예방교육 | 어려움이 있는 친구를 도와주는 방법 알고 실천해보기 【학교폭력 예방교육, 폭력예방 및 신변보호, 봉사활동-1】 | 2/9 |  | 
T38: 3 | 03.16 ~ 03.22 | 수 | 자율·자치활동 | 학교폭력 예방교육 | 우리 반과 학교에서 지켜야 할 질서, 규칙 알아보고 실천하기 【학교폭력 예방교육, 폭력예방 및 신변보호】 | 3/9 |  | 
T47: 4 | 03.23 ~ 03.29 | 월 | 자율·자치활동 | 학급특색교육 | 학급특색교육 -2- 【경제･금융교육】 | 2/2 |  | 
T74: 6 | 04.06 ~ 04.12 | 월 | 자율·자치활동 | 생활안전 | 반려견과 안전하게 산책하는 방법 알아보기 【생활안전-신체활동 안전】 | 1/2 |  | 
T83: 6 | 04.06 ~ 04.12 | 화 | 자율·자치활동 | 교통안전 | 어린이 보호구역 알아보기 【교통안전-보행자안전】 | 1/1 |  | 
T83: 6 | 04.06 ~ 04.12 | 목 | 자율·자치활동 | 다문화 이해교육 | 다른 나라 사람들의 생활 모습 알아보기 【다문화 이해교육】 | 1/4 |  | 
T92: 7 | 04.13 ~ 04.19 | 월 | 자율·자치활동 | 장애인식 개선교육 | 장애우의 어려운 점 이해하고 도와줄 일 알아보기 【장애인식 개선교육】 | 1/4 |  | 
T92: 7 | 04.13 ~ 04.19 | 화 | 자율·자치활동 | 장애인식 개선교육 | 장애인에 대한 바른 태도 알아보기 【장애인식 개선교육】 | 2/4 |  | 
T101: 8 | 04.20 ~ 04.26 | 월 | 자율·자치활동 | 보건교육 | 건강의 의미를 알아보고 적절한 건강 증진 계획 세우기 【보건교육, 생활안전-신체활동 안전】 | 1/13 |  | 
T119: 9 | 04.27 ~ 05.03 | 월 | 자율·자치활동 | 다문화 이해교육 | 그림책에 나오는 다양한 나라 알아보기 【다문화 이해교육】 | 2/4 |  | 
T128: 10 | 05.04 ~ 05.10 | 월 | 자율·자치활동 | 통일교육 | 명절을 보내는 남한과 북한의 공통점 알아보기 | 1/5 |  | 
T128: 10 | 05.04 ~ 05.10 | 목 | 자율·자치활동 | 보건교육 | 약물 중독 예방하기 【약물 및 사이버 중독 예방-약물중독, 보건교육】 | 4/13 |  | 
T137: 11 | 05.11 ~ 05.17 | 월 | 자율·자치활동 | 교육활동보호 | 교육활동보호 | 1/1 |  | 
T146: 12 | 05.18 ~ 05.24 | 월 | 자율·자치활동 | 환경･지속가능발전교육 | 환경을 깨끗하게 유지하기 위해 우리가 할 수 있는 일 알아보고 플로깅 활동하기【환경･지속가능발전교육, 봉사활동-2】 | 1/5 |  | 
T182: 15 | 06.08 ~ 06.14 | 월 | 자율·자치활동 | 정보 통신 | 사이버 공간에서 하는 일들을 분류하기 【디지털 시민교육, 약물 및 사이버 중독 예방-사이버중독, 직업안전-직업안전의식】 | 1/10 |  | 
T200: 16 | 06.15 ~ 06.21 | 월 | 자율·자치활동 | 정보 통신 | 사이버 공간의 편리함을 알고 바르게 이용하는 방법을 실천하기 【디지털 시민교육, 약물 및 사이버 중독 예방-사이버중독】 | 2/10 |  | 
T209: 17 | 06.22 ~ 06.28 | 월 | 자율·자치활동 | 정보 통신 | 인터넷과 게임 중독의 개념 및 증상 이해하고 대처법 알아보기 【디지털 시민교육, 약물 및 사이버 중독 예방-사이버중독】 | 3/10 |  | 
T227: 18 | 06.29 ~ 07.05 | 월 | 자율·자치활동 | 사이버폭력 예방 교육 | 사이버폭력의 정의와 특성: 익명성, 빠른 전파력(확산성), 기록이 남는 특성(영구성) 이해하기.[어울림교육-9]사이버 갈등관리 및 문제해결, 학생 도박예방교육 【약물 및 사이버 중독 예방-사이버중독, 학교폭력 예방교육】 | 1/3 |  | 
T236: 19 | 07.06 ~ 07.12 | 월 | 자율·자치활동 | 사이버폭력 예방 교육 | 다양한 유형 알아보기:사이버 언어폭력 및 명예훼손 (악플, 헛소문 유포) | 2/3 |  | 
T245: 19 | 07.06 ~ 07.12 | 수 | 동아리활동 | 동아리 활동 | 인물의 말과 행동을 보고 마음 추측하기, 인물에게 하고 싶은 말 쓰기 | 2/8 |  | 
T245: 19 | 07.06 ~ 07.12 | 수 | 수학 | 6. 다각형의 둘레와 넓이 | 평행사변형의 넓이를 구해 볼까요 -1- | 7/14 | 130~133 | 
T245: 19 | 07.06 ~ 07.12 | 수 | 진로활동 | 진로 탐구 | 자신의 장점과 단점, 성격 파악하기 【진로교육】 | 1/5 |  | 
T245: 19 | 07.06 ~ 07.12 | 목 | 동아리활동 | 동아리 활동 | 책 읽고 있었던 일을 시간과 장소의 순서에 따라 정리하기 | 3/8 |  | 
