### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
T11: 1 | 03.02 ~ 03.08 | 화 | 과학 | 1. 지층과 화석 | [단원 열기] 공룡 뼈 퍼즐 맞추기 | 1/13 | 10~13 | 
T11: 1 | 03.02 ~ 03.08 | 화 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 건강 체력과 성장을 알아볼까요 【보건교육】 | 1/13 | 10~11 | 
T11: 1 | 03.02 ~ 03.08 | 금 | 실과 | 1. 건강한 발달을 위한 실천 | 나는 이렇게 달라지고 있어요. 【양성평등교육, 보건교육】 | 1/6 | 10~11 | 
T20: 2 | 03.09 ~ 03.15 | 월 | 자율·자치활동 | 생명존중 및 자살예방 교육 | 나의 소중함 알고 소중하게 가꾸기 【생명존중 및 자살예방 교육, 폭력예방 및 신변보호】 | 1/6 |  | 
T20: 2 | 03.09 ~ 03.15 | 월 | 실과 | 1. 건강한 발달을 위한 실천 | 건강한 발달을 위해 필요한 조건이 있어요 -1- 【보건교육, 건강한식생활및영양교육】 | 2/6 | 12~13 | 
T20: 2 | 03.09 ~ 03.15 | 화 | 자율·자치활동 | 생명존중 및 자살예방 교육 | 내가 소중한 이유 알아보고 부모님께 감사한 마음 표현하기 【생명존중 및 자살예방 교육, 폭력예방 및 신변보호】 | 2/6 |  | 
T29: 2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 1학기 전교임원선거 | 1학기 전교임원선거 -1- 【민주시민교육】 | 1/2 |  | 
T29: 2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 1학기 전교임원선거 | 1학기 전교임원선거 -2- 【민주시민교육】 | 2/2 |  | 
T29: 2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 생명존중 및 자살예방 교육 | 나의 가치를 알아보고 나를 사랑하는 마음 갖기 【생명존중 및 자살예방 교육, 폭력예방 및 신변보호】 | 3/6 |  | 
T29: 2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 학급특색교육 | 학급특색교육 -1- 【경제･금융교육】 | 1/2 |  | 
T29: 2 | 03.09 ~ 03.15 | 금 | 자율·자치활동 | 1학기 학급임원선거 | 1학기 학급임원선거 【생활안전-제품 안전】 | 1/1 |  | 
T29: 3 | 03.16 ~ 03.22 | 월 | 자율·자치활동 | 학교폭력 예방교육 | 친구에게 피해를 주는 행동과 사이좋게 지낼 수 있는 행동 알아보기 【학교폭력 예방교육, 폭력예방 및 신변보호】 | 1/9 |  | 
