### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
## TABLE 11 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
1 | 03.02 ~ 03.08 | 화 | 자율·자치활동 | 시업식 | 시업식 | 1/1 |  | 
1 | 03.02 ~ 03.08 | 화 | 과학 | 1. 지층과 화석 | [단원 열기] 공룡 뼈 퍼즐 맞추기 | 1/13 | 10~13 | 
1 | 03.02 ~ 03.08 | 화 | 사회 | 1. 우리나라 국토 여행 | 단원·주제 도입 | 1/16 | 8~11 | 
1 | 03.02 ~ 03.08 | 화 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 건강 체력과 성장을 알아볼까요 【보건교육】 | 1/13 | 10~11 | 
1 | 03.02 ~ 03.08 | 수 | 국어 | <독서> 책을 읽고 함께 이야기해요 | 읽을 책을 정하고 책 내용 예상하기 -1- | 1/10 | 8~15 | 
1 | 03.02 ~ 03.08 | 수 | 영어 | 1. I’m from Spain | 출신 국가를 묻고 답하는 표현 이해하기 | 1/8 | 8~11 | 
1 | 03.02 ~ 03.08 | 수 | 수학 | 1. 자연수의 혼합 계산 | 단원 도입 | 1/12 | 7~9 | 
1 | 03.02 ~ 03.08 | 수 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 건강 체력 알아보기 -1- | 2/13 | 12~13 | 
1 | 03.02 ~ 03.08 | 수 | 과학 | 1. 지층과 화석 | 여러 가지 지층을 관찰해 볼까요 | 2/13 | 14~15 | 
1 | 03.02 ~ 03.08 | 목 | 국어 | <독서> 책을 읽고 함께 이야기해요 | 읽을 책을 정하고 책 내용 예상하기 -2- | 2/10 | 8~15 | 
1 | 03.02 ~ 03.08 | 목 | 국어 | <독서> 책을 읽고 함께 이야기해요 | 인상 깊은 내용을 파악하며 책 읽기 -1- | 3/10 | 16~23 | 
1 | 03.02 ~ 03.08 | 목 | 영어 | 1. I’m from Spain | 출신 국가를 묻고 답하는 내용 이해하여 말하기 | 2/8 | 12~13 | 
1 | 03.02 ~ 03.08 | 목 | 사회 | 1. 우리나라 국토 여행 | 우리 국토에는 어떤 지형이 있을까요 | 2/16 | 12~17 | 
1 | 03.02 ~ 03.08 | 목 | 수학 | 1. 자연수의 혼합 계산 | 덧셈과 뺄셈이 섞여 있는 식을 계산해 볼까요 | 2/12 | 10~11 | 
1 | 03.02 ~ 03.08 | 목 | 음악 | 1. 아무 이유 없이 좋은 친구 | 노랫말의 의미를 생각하며 친구들과 함께 노래 부르기 | 1/1 | 8~9 | 
1 | 03.02 ~ 03.08 | 금 | 과학 | 1. 지층과 화석 | 지층은 어떻게 만들어질까요 -1- | 3/13 | 16~19 | 
1 | 03.02 ~ 03.08 | 금 | 사회 | 1. 우리나라 국토 여행 | 우리나라의 산지는 어디에 있을까요 | 3/16 | 18~21 | 
1 | 03.02 ~ 03.08 | 금 | 실과 | 1. 건강한 발달을 위한 실천 | 나는 이렇게 달라지고 있어요. 【양성평등교육, 보건교육】 | 1/6 | 10~11 | 
1 | 03.02 ~ 03.08 | 금 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 건강 체력 알아보기 -2- | 3/13 | 12~13 | 
## TABLE 20 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
1 | 03.02 ~ 03.08 | 금 | 미술 | 1. 조형 원리를 찾아라! | 작품 속 조형 원리를 찾아볼까요 -1- | 1/6 | 6~7 | 
1 | 03.02 ~ 03.08 | 금 | 미술 | 1. 조형 원리를 찾아라! | 작품 속 조형 원리를 찾아볼까요 -2- | 2/6 | 6~7 | 
2 | 03.09 ~ 03.15 | 월 | 국어 | <독서> 책을 읽고 함께 이야기해요 | 인상 깊은 내용을 파악하며 책 읽기 -2- | 4/10 | 16~23 | 
2 | 03.09 ~ 03.15 | 월 | 국어 | <독서> 책을 읽고 함께 이야기해요 | 인상 깊은 내용을 파악하며 책 읽기 -3- | 5/10 | 16~23 | 
2 | 03.09 ~ 03.15 | 월 | 영어 | 1. I’m from Spain | 출신 국가를 묻고 답하는 문장 읽고 쓰기 | 3/8 | 14~15 | 
