### FILE second.html
## TABLE 0 31x20
월 | 주 | 수업 일수 | 교과 | 교과 | 교과 | 교과 | 교과 | 교과 | 교과 | 교과 | 교과 | 교과 | 교과 | 창의적 체험활동 | 창의적 체험활동 | 창의적 체험활동 | 창의적 체험활동 | 총계 | 
월 | 주 | 수업 일수 | 국어 | 사회 | 도덕 | 수학 | 과학 | 실과 | 체육 | 음악 | 미술 | 영어 | 소계 | 자율 활동 | 동아리 활동 | 진로 활동 | 소계 | 총계 | 
8 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 여름개학식(8/21)
8 | 2 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
8 | 3 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 양성평등교육주간
9 | 4 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 학교폭력예방주간(어울림교육)
9 | 5 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 생명사랑교육주간
9 | 6 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 추석(9/24~25)
9 | 7 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 언어문화개선주간
10 | 8 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 대체공휴일(10/5), 한글날(10/9)
10 | 9 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
10 | 10 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 독도교육주간
10 | 11 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
11 | 12 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
11 | 13 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
11 | 14 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 꿈끼어울림주간
11 | 15 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
11 | 16 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
12 | 17 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
12 | 18 | 5 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
12 | 19 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 성탄절(12/25)
12 | 20 | 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 신정(1/1)
1 | 21 | 3 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 졸업식(1/6), 종업식(1/6)
1 | 22 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 겨울방학
1 | 23 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 겨울방학
1 | 24 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 겨울방학
2 | 25 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 겨울방학
2 | 26 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 겨울방학
2 | 27 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 겨울방학
2 | 28 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 겨울방학
합계 | 합계 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
